"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/PlaceScoreCompution.csproj", "XML", 0, 0, 11, 0, 0, 4, 15
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/Program.cs", "C#", 1, 0, 0, 0, 1, 1, 3
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Interfaces/PersonInterfaces.cs", "C#", 20, 0, 0, 0, 0, 4, 24
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Managers/ProgramManager.cs", "C#", 45, 0, 0, 0, 0, 9, 54
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Managers/ProgramModeManager.cs", "C#", 48, 0, 0, 0, 0, 14, 62
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Program.cs", "C#", 132, 0, 0, 0, 7, 43, 182
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/ProgramState.cs", "C#", 28, 0, 0, 0, 0, 9, 37
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/ScoreCompution.csproj", "XML", 0, 0, 11, 0, 0, 4, 15
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Services/ComputionService.cs", "C#", 22, 0, 0, 0, 0, 6, 28
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Services/PersonService.cs", "C#", 282, 0, 0, 0, 19, 66, 367
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Services/PlaceService.cs", "C#", 156, 0, 0, 0, 2, 42, 200
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Services/ValidationService.cs", "C#", 83, 0, 0, 0, 0, 13, 96
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Structs/ProgramDataStruct.cs", "C#", 8, 0, 0, 0, 0, 3, 11
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/Utilitys/ConsoleLineAnimation.cs", "C#", 53, 0, 0, 0, 1, 13, 67
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/bin/Debug/net9.0/ScoreCompution.deps.json", "JSON", 0, 59, 0, 0, 0, 0, 59
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/bin/Debug/net9.0/ScoreCompution.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/Debug/net9.0/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/Debug/net9.0/ScoreCompution.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/Debug/net9.0/ScoreCompution.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/Debug/net9.0/ScoreCompution.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/ScoreCompution.csproj.nuget.dgspec.json", "JSON", 0, 74, 0, 0, 0, 0, 74
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/ScoreCompution.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/ScoreCompution.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/ScoreCompution/obj/project.assets.json", "JSON", 0, 178, 0, 0, 0, 0, 178
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/obj/PlaceScoreCompution.csproj.nuget.dgspec.json", "JSON", 0, 74, 0, 0, 0, 0, 74
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/obj/PlaceScoreCompution.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/obj/PlaceScoreCompution.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"/home/mrpavl1nus/Programs/for_yourself/PlaceScoreCompution/obj/project.assets.json", "JSON", 0, 178, 0, 0, 0, 0, 178
"Total", "-", 897, 575, 56, 15, 41, 239, 1823